rewards,policy_ddpg_loss,steps,beta,policy_ppo_loss,entropy,kl,critic_loss,value_func_loss
1607.5737779348779,0.0033031136,558.05,1.0,-0.007266471,2.3580492,0.002369778,0.00010331267,0.059859103261639506
1413.661365540645,0.0028407106,487.3,1.0,-0.0080613475,2.3555603,0.0031764356,0.00010165033,0.12720926369572683
1520.456366718806,0.003174049,533.35,1.0,-0.0070363246,2.3528955,0.002441494,0.000100146455,0.10425572466739147
1484.271250460341,0.0029095546,534.95,1.0,-0.007172553,2.345914,0.002935046,0.00010093563,0.08770182667415775
1741.392834174397,0.0030324447,602.4,1.0,-0.0074258456,2.3429894,0.0026187636,9.964877e-05,0.09668215556572925
1772.0362354921322,0.0030105712,626.85,1.0,-0.0060381754,2.3426528,0.001883116,9.8188386e-05,0.0748400739019661
1761.339420852645,0.0026385933,628.35,1.0,-0.0063673053,2.3389397,0.0024987312,9.761669e-05,0.12279291195296413
1810.3244711026375,0.0026539876,635.75,1.0,-0.0071662087,2.3307598,0.0034207602,9.705793e-05,0.11892635711685468
1607.671551949199,0.0043172706,524.15,1.0,-0.008441326,2.3192139,0.0021335576,9.553703e-05,0.06338973465450418
1932.634757362551,0.003306485,659.05,1.0,-0.008195466,2.3148708,0.0026585415,9.491757e-05,0.05588227170616054
1885.5475140788071,0.0028551817,647.75,1.0,-0.0062426366,2.311282,0.0018675535,9.4883806e-05,0.06993554407165747
2385.294366208708,0.0028260397,825.85,1.0,-0.0058388556,2.3086376,0.002256988,9.265757e-05,0.04843692329456997
1906.0188490897326,0.0019823755,676.55,1.0,-0.0056369174,2.306126,0.0033729067,9.129366e-05,0.20584888369251503
1940.4663374310653,0.003477877,658.6,1.0,-0.007240031,2.3079023,0.0021863051,9.174413e-05,0.07727991637948424
2196.376155133084,0.003205586,746.75,1.0,-0.005881059,2.308054,0.0016793387,9.039289e-05,0.06164830564473825
2177.9052786735897,0.003328072,745.3,1.0,-0.006561581,2.302628,0.0023606198,8.9258254e-05,0.04015590615720672
1940.1307681796475,0.003282923,659.5,1.0,-0.0070332186,2.2926137,0.002307215,8.8586996e-05,0.08833458076269109
2055.599799240014,0.0030845583,684.6,0.6666666666666666,-0.005361395,2.2925038,0.0011898859,8.739998e-05,0.06044720021365529
2331.3585320239868,0.0036162585,777.3,0.6666666666666666,-0.00698186,2.2843537,0.002861362,8.682218e-05,0.033845038585222365
2357.3382173341656,0.0029168527,799.8,0.6666666666666666,-0.006065422,2.2741182,0.0027419028,8.650348e-05,0.03713572053875571
2480.0993622514634,0.0027709536,824.5,1.0,-0.009093683,2.2647533,0.006530055,8.440016e-05,0.0572816562972901
2223.4281260028674,0.0030430101,714.75,1.0,-0.006899674,2.2694016,0.0028055538,8.372587e-05,0.04185322051801698
2412.7122328908276,0.0031156137,798.1,1.0,-0.004752662,2.2733774,0.0015680786,8.487743e-05,0.036464324516983865
2500.051124739459,0.003147939,836.4,1.0,-0.005915801,2.2688558,0.0022070145,8.3842424e-05,0.022728225912605357
2618.5476692639595,0.00327989,847.95,1.0,-0.005689312,2.2650924,0.002070985,8.274434e-05,0.01718356105628727
