value_func_loss,entropy,beta,policy_loss,rewards,steps,kl
0.0002874089522431922,3.3742492,7.59375,-0.02029878,-37.45,50.0,0.0022703079
0.000521044730574155,3.3585048,7.59375,-0.024227705,-34.05,50.0,0.0027590157
0.00024277001154184502,3.349516,7.59375,-0.026940616,-36.05,50.0,0.0034803487
0.0005322944720021318,3.342255,7.59375,-0.023228854,-31.95,50.0,0.0025521442
0.0004690438056655859,3.3286123,7.59375,-0.021107785,-31.75,50.0,0.0018247454
0.0004174886721361011,3.324078,7.59375,-0.026917499,-30.3,50.0,0.0026485454
0.0003173570607570656,3.3064303,7.59375,-0.02535483,-30.2,50.0,0.0030113799
0.0003536643122792489,3.2981057,7.59375,-0.028661575,-29.55,50.0,0.0029470485
0.00034053591523345184,3.2693558,7.59375,-0.025227908,-26.85,50.0,0.0024971697
0.00020328090145329018,3.250947,5.0625,-0.017549131,-24.1,50.0,0.0014558551
0.0003468356871921722,3.2215767,5.0625,-0.023831103,-24.65,50.0,0.0029485216
0.0003305127617320729,3.2066317,5.0625,-0.028276414,-25.8,50.0,0.0045282724
0.00025076610149793335,3.167292,5.0625,-0.03790915,-23.7,50.0,0.004729415
0.00028907954484300413,3.1385698,5.0625,-0.03767697,-18.9,50.0,0.004983283
0.00033001136755762784,3.1052194,5.0625,-0.032676753,-18.25,50.0,0.00417875
0.0002431658238128969,3.0739217,7.59375,-0.036474008,-14.05,50.0,0.006082533
0.00017819744421124795,3.0491934,7.59375,-0.020884475,-16.5,50.0,0.0019010332
0.00029431535575458146,3.0210736,7.59375,-0.031746604,-16.75,50.0,0.0033706916
0.00019835836324253136,2.9902163,7.59375,-0.03009135,-15.95,50.0,0.003931966
0.00034776959458270295,2.9614697,7.59375,-0.03372542,-13.1,50.0,0.0037803298
0.00010898420740645602,2.948504,7.59375,-0.025406472,-11.0,50.0,0.002879495
0.00012101200886588283,2.9401708,7.59375,-0.03620436,-10.25,50.0,0.003931845
8.598001487896148e-05,2.9296055,7.59375,-0.021199293,-10.5,50.0,0.002276729
0.00010635478625409394,2.8987765,7.59375,-0.023292245,-7.75,50.0,0.0022164292
8.283234094442411e-05,2.8695748,7.59375,-0.023836905,-9.9,50.0,0.0026418685
0.00015486729614842896,2.8511243,7.59375,-0.021473432,-5.9,50.0,0.0017214854
6.101137479104772e-05,2.831861,7.59375,-0.022757204,-6.1,50.0,0.0027598126
6.100508521523298e-05,2.8117127,7.59375,-0.025639655,-6.35,50.0,0.0025490467
4.03744623027819e-05,2.7877514,7.59375,-0.022373993,-5.8,50.0,0.0021102414
4.156826540377981e-05,2.7736118,7.59375,-0.027223343,-5.15,50.0,0.0024407436
3.542067765906991e-05,2.748403,7.59375,-0.021915272,-4.75,50.0,0.0022059786
3.7642038149767704e-05,2.716751,7.59375,-0.023336273,-4.3,50.0,0.0020152712
3.028247657083083e-05,2.6934175,7.59375,-0.022191934,-4.5,50.0,0.002102301
1.5139542783237392e-05,2.6734583,7.59375,-0.016862933,-3.1,50.0,0.0018864693
2.119240927054211e-05,2.6552854,7.59375,-0.01755207,-4.45,50.0,0.0016759405
2.5582333423285123e-05,2.6324577,7.59375,-0.020286394,-4.55,50.0,0.0021378025
1.7663155985369976e-05,2.6190035,7.59375,-0.021561937,-3.4,50.0,0.0023730441
2.1996910488234246e-05,2.5972464,5.0625,-0.017310925,-3.85,50.0,0.0012710915
1.197335538833691e-05,2.5724123,5.0625,-0.021055918,-3.55,50.0,0.002622071
1.787441851900442e-05,2.55312,5.0625,-0.029753251,-3.85,50.0,0.003484955
1.9812497565043237e-05,2.5298443,5.0625,-0.034350425,-3.45,50.0,0.004923583
1.279544668863956e-05,2.5126805,5.0625,-0.033987932,-3.3,50.0,0.0035394784
1.0117548234293308e-05,2.49395,5.0625,-0.030031374,-2.8,50.0,0.003009422
1.5506824449073627e-05,2.4673073,5.0625,-0.029776432,-3.4,50.0,0.0039958926
9.022738349109567e-06,2.4415412,5.0625,-0.026846789,-2.95,50.0,0.0035206072
8.077346515743566e-06,2.4228487,5.0625,-0.026397655,-2.5,50.0,0.0031166147
6.254765783724125e-06,2.4108648,5.0625,-0.023886293,-2.6,50.0,0.0029184332
6.0613612753034575e-06,2.389351,5.0625,-0.024335347,-2.4,50.0,0.0024004742
2.5249414883896007e-06,2.3839314,5.0625,-0.031933576,-2.05,50.0,0.0048709977
7.4631676503374835e-06,2.3675923,5.0625,-0.018531896,-2.5,50.0,0.0024680994
9.728629999946871e-06,2.336886,5.0625,-0.02216549,-2.8,50.0,0.0020811665
4.741701592205184e-06,2.3178587,5.0625,-0.016357366,-2.3,50.0,0.0021421055
5.792261586682583e-06,2.2920747,5.0625,-0.022857511,-2.3,50.0,0.0031211027
6.145106501679434e-06,2.2630367,5.0625,-0.026404738,-2.75,50.0,0.003612408
6.805231059865162e-06,2.2347689,5.0625,-0.028378993,-2.4,50.0,0.0030631192
4.715617281902114e-06,2.2135801,5.0625,-0.021958293,-2.3,50.0,0.0033367146
4.839293179981722e-06,2.187811,5.0625,-0.023306897,-2.7,50.0,0.0025939282
2.3139557689176605e-06,2.1833692,5.0625,-0.024071187,-2.1,50.0,0.0027851872
2.0296272166470744e-06,2.1751275,5.0625,-0.023478467,-2.0,50.0,0.0038824296
4.355810376099837e-06,2.1415508,5.0625,-0.019528875,-2.35,50.0,0.0016973203
3.1043042456652344e-06,2.1260433,5.0625,-0.022642992,-2.3,50.0,0.0031453606
4.59084538146457e-06,2.1020794,5.0625,-0.025181321,-2.25,50.0,0.0037007888
6.682583132214334e-06,2.0795717,5.0625,-0.028315505,-1.75,50.0,0.004133297
4.559629742245523e-06,2.054019,5.0625,-0.01919191,-2.2,50.0,0.0023149452
3.024438030722898e-06,2.0174236,5.0625,-0.025460182,-2.55,50.0,0.0033316433
1.8131482297942213e-06,1.9845247,5.0625,-0.02110238,-1.85,50.0,0.0029410995
6.344238204948433e-07,1.9683728,5.0625,-0.019508477,-1.85,50.0,0.0020281936
1.943184690628905e-06,1.9645963,5.0625,-0.028663997,-1.9,50.0,0.004620274
3.3451403361469943e-06,1.9472702,5.0625,-0.021070004,-1.9,50.0,0.0025004721
3.1217047984938316e-06,1.9268873,5.0625,-0.029774576,-2.55,50.0,0.0039896397
5.140082155125986e-06,1.9114089,5.0625,-0.01997531,-2.05,50.0,0.0022025285
1.5263248135755792e-06,1.9097295,5.0625,-0.021479601,-1.85,50.0,0.0022393954
1.1840463344634288e-06,1.9118128,5.0625,-0.020664882,-1.75,50.0,0.00237576
2.515891076607384e-06,1.8979902,5.0625,-0.02756375,-1.9,50.0,0.0030630415
2.2089356740523646e-06,1.8670492,5.0625,-0.024630513,-1.95,50.0,0.0025646319
8.965265178601484e-06,1.850502,5.0625,-0.022921424,-2.2,50.0,0.0024574392
